case:concept:name,concept:name,start_timestamp,time:timestamp
12,operation_on_cell_2,end,21:09:39
12,transport_to_track_2,start,21:09:39
12,transport_to_track_2,end,21:09:44
13,transport_to_track_1,start,21:09:44
13,transport_to_track_1,end,21:09:44
13,transport_to_cell_1,start,21:09:44
13,transport_to_cell_1,end,21:09:54
13,operation_on_cell_1,start,21:09:54
13,operation_on_cell_1,end,21:09:54
13,transport_to_cell_2,start,21:09:54
13,transport_to_cell_2,end,21:10:09
13,operation_on_cell_2,start,21:10:09
13,operation_on_cell_2,end,21:10:14
13,transport_to_track_2,start,21:10:14
13,transport_to_track_2,end,21:10:14
14,transport_to_track_1,start,21:10:14
14,transport_to_track_1,end,21:10:19
14,transport_to_cell_1,start,21:10:19
14,transport_to_cell_1,end,21:10:24
14,operation_on_cell_1,start,21:10:24
14,operation_on_cell_1,end,21:10:29
14,transport_to_cell_2,start,21:10:29
14,transport_to_cell_2,end,21:10:34
14,operation_on_cell_2,start,21:10:34
14,operation_on_cell_2,end,21:10:34
14,transport_to_track_2,start,21:10:34
14,transport_to_track_2,end,21:10:44
15,transport_to_track_1,start,21:10:44
15,transport_to_track_1,end,21:10:44
15,transport_to_cell_1,start,21:10:44
15,transport_to_cell_1,end,21:10:44
15,operation_on_cell_1,start,21:10:44
15,operation_on_cell_1,end,21:10:59
15,transport_to_cell_2,start,21:10:59
15,transport_to_cell_2,end,21:11:04
15,operation_on_cell_2,start,21:11:04
15,operation_on_cell_2,end,21:11:04
15,transport_to_track_2,start,21:11:04
15,transport_to_track_2,end,21:11:04
16,transport_to_track_1,start,21:11:04
16,transport_to_track_1,end,21:11:09
16,transport_to_cell_1,start,21:11:09
16,transport_to_cell_1,end,21:11:09
16,operation_on_cell_1,start,21:11:09
16,operation_on_cell_1,end,21:11:24
16,transport_to_cell_2,start,21:11:24
16,transport_to_cell_2,end,21:11:24
16,operation_on_cell_2,start,21:11:24
16,operation_on_cell_2,end,21:11:24
16,transport_to_track_2,start,21:11:24
16,transport_to_track_2,end,21:11:29
17,transport_to_track_1,start,21:11:29
17,transport_to_track_1,end,21:11:34
17,transport_to_cell_1,start,21:11:34
17,transport_to_cell_1,end,21:11:34
17,operation_on_cell_1,start,21:11:34
17,operation_on_cell_1,end,21:11:39
17,transport_to_cell_2,start,21:11:39
17,transport_to_cell_2,end,21:11:49
17,operation_on_cell_2,start,21:11:49
17,operation_on_cell_2,end,21:12:04
17,transport_to_track_2,start,21:12:04
17,transport_to_track_2,end,21:12:09
18,transport_to_track_1,start,21:12:09
18,transport_to_track_1,end,21:12:09
18,transport_to_cell_1,start,21:12:09
18,transport_to_cell_1,end,21:12:14
18,operation_on_cell_1,start,21:12:14
18,operation_on_cell_1,end,21:12:24
18,transport_to_cell_2,start,21:12:24
18,transport_to_cell_2,end,21:12:24
18,operation_on_cell_2,start,21:12:24
18,operation_on_cell_2,end,21:12:24
18,transport_to_track_2,start,21:12:24
18,transport_to_track_2,end,21:12:34
19,transport_to_track_1,start,21:12:34
19,transport_to_track_1,end,21:12:59
19,transport_to_cell_1,start,21:12:59
19,transport_to_cell_1,end,21:13:04
19,operation_on_cell_1,start,21:13:04
19,operation_on_cell_1,end,21:13:09
19,transport_to_cell_2,start,21:13:09
19,transport_to_cell_2,end,21:13:09
19,operation_on_cell_2,start,21:13:09
19,operation_on_cell_2,end,21:13:24
19,transport_to_track_2,start,21:13:24
19,transport_to_track_2,end,21:13:44
20,transport_to_track_1,start,21:13:44
20,transport_to_track_1,end,21:13:49
20,transport_to_cell_1,start,21:13:49
20,transport_to_cell_1,end,21:14:09
20,operation_on_cell_1,start,21:14:09
20,operation_on_cell_1,end,21:14:14
20,transport_to_cell_2,start,21:14:14
20,transport_to_cell_2,end,21:14:14
20,operation_on_cell_2,start,21:14:14
20,operation_on_cell_2,end,21:14:14
20,transport_to_track_2,start,21:14:14
20,transport_to_track_2,end,21:14:14
21,transport_to_track_1,start,21:14:14
21,transport_to_track_1,end,21:14:19
21,transport_to_cell_1,start,21:14:19
21,transport_to_cell_1,end,21:14:24
21,operation_on_cell_1,start,21:14:24
21,operation_on_cell_1,end,21:14:24
21,transport_to_cell_2,start,21:14:24
21,transport_to_cell_2,end,21:14:24
21,operation_on_cell_2,start,21:14:24
21,operation_on_cell_2,end,21:14:24
21,transport_to_track_2,start,21:14:24
21,transport_to_track_2,end,21:14:24
22,transport_to_track_1,start,21:14:24
22,transport_to_track_1,end,21:14:34
22,transport_to_cell_1,start,21:14:34
22,transport_to_cell_1,end,21:14:34
22,operation_on_cell_1,start,21:14:34
22,operation_on_cell_1,end,21:14:34
22,transport_to_cell_2,start,21:14:34
22,transport_to_cell_2,end,21:14:39
22,operation_on_cell_2,start,21:14:39
22,operation_on_cell_2,end,21:14:49
22,transport_to_track_2,start,21:14:49
22,transport_to_track_2,end,21:14:54
23,transport_to_track_1,start,21:14:54
23,transport_to_track_1,end,21:14:54
23,transport_to_cell_1,start,21:14:54
23,transport_to_cell_1,end,21:14:59
23,operation_on_cell_1,start,21:14:59
23,operation_on_cell_1,end,21:15:09
23,transport_to_cell_2,start,21:15:09
23,transport_to_cell_2,end,21:15:19
23,operation_on_cell_2,start,21:15:19
23,operation_on_cell_2,end,21:15:19
23,transport_to_track_2,start,21:15:19
23,transport_to_track_2,end,21:15:19
24,transport_to_track_1,start,21:15:19
24,transport_to_track_1,end,21:15:19
24,transport_to_cell_1,start,21:15:19
24,transport_to_cell_1,end,21:15:29
24,operation_on_cell_1,start,21:15:29
24,operation_on_cell_1,end,21:15:29
24,transport_to_cell_2,start,21:15:29
24,transport_to_cell_2,end,21:15:39
24,operation_on_cell_2,start,21:15:39
24,operation_on_cell_2,end,21:15:49
24,transport_to_track_2,start,21:15:49
24,transport_to_track_2,end,21:15:54
25,transport_to_track_1,start,21:15:54
25,transport_to_track_1,end,21:16:09
25,transport_to_cell_1,start,21:16:09
25,transport_to_cell_1,end,21:16:14
25,operation_on_cell_1,start,21:16:14
25,operation_on_cell_1,end,21:16:14
25,transport_to_cell_2,start,21:16:14
25,transport_to_cell_2,end,21:16:19
25,operation_on_cell_2,start,21:16:19
25,operation_on_cell_2,end,21:16:24
25,transport_to_track_2,start,21:16:24
25,transport_to_track_2,end,21:16:29
26,transport_to_track_1,start,21:16:29
26,transport_to_track_1,end,21:16:34
26,transport_to_cell_1,start,21:16:34
26,transport_to_cell_1,end,21:16:39
26,operation_on_cell_1,start,21:16:39
26,operation_on_cell_1,end,21:16:49
26,transport_to_cell_2,start,21:16:49
26,transport_to_cell_2,end,21:16:49
26,operation_on_cell_2,start,21:16:49
26,operation_on_cell_2,end,21:16:49
26,transport_to_track_2,start,21:16:49
26,transport_to_track_2,end,21:17:04
27,transport_to_track_1,start,21:17:04
27,transport_to_track_1,end,21:17:04
27,transport_to_cell_1,start,21:17:04
27,transport_to_cell_1,end,21:17:14
27,operation_on_cell_1,start,21:17:14
27,operation_on_cell_1,end,21:17:19
27,transport_to_cell_2,start,21:17:19
27,transport_to_cell_2,end,21:17:19
27,operation_on_cell_2,start,21:17:19
27,operation_on_cell_2,end,21:17:24
27,transport_to_track_2,start,21:17:24
27,transport_to_track_2,end,21:17:29
28,transport_to_track_1,start,21:17:29
28,transport_to_track_1,end,21:17:29
28,transport_to_cell_1,start,21:17:29
28,transport_to_cell_1,end,21:17:34
28,operation_on_cell_1,start,21:17:34
28,operation_on_cell_1,end,21:17:39
28,transport_to_cell_2,start,21:17:39
28,transport_to_cell_2,end,21:17:39
28,operation_on_cell_2,start,21:17:39
28,operation_on_cell_2,end,21:17:39
28,transport_to_track_2,start,21:17:39
28,transport_to_track_2,end,21:17:39
29,transport_to_track_1,start,21:17:39
29,transport_to_track_1,end,21:17:44
29,transport_to_cell_1,start,21:17:44
29,transport_to_cell_1,end,21:17:44
29,operation_on_cell_1,start,21:17:44
29,operation_on_cell_1,end,21:17:49
29,transport_to_cell_2,start,21:17:49
29,transport_to_cell_2,end,21:17:49
29,operation_on_cell_2,start,21:17:49
29,operation_on_cell_2,end,21:17:54
29,transport_to_track_2,start,21:17:54
29,transport_to_track_2,end,21:17:59
30,transport_to_track_1,start,21:17:59
30,transport_to_track_1,end,21:18:04
30,transport_to_cell_1,start,21:18:04
30,transport_to_cell_1,end,21:18:14
30,operation_on_cell_1,start,21:18:14
30,operation_on_cell_1,end,21:18:19
30,transport_to_cell_2,start,21:18:19
30,transport_to_cell_2,end,21:18:24
30,operation_on_cell_2,start,21:18:24
30,operation_on_cell_2,end,21:18:29
30,transport_to_track_2,start,21:18:29
30,transport_to_track_2,end,21:18:34
31,transport_to_track_1,start,21:18:34
31,transport_to_track_1,end,21:18:44
31,transport_to_cell_1,start,21:18:44
31,transport_to_cell_1,end,21:18:54
31,operation_on_cell_1,start,21:18:54
31,operation_on_cell_1,end,21:19:15
31,transport_to_cell_2,start,21:19:15
31,transport_to_cell_2,end,21:19:20
31,operation_on_cell_2,start,21:19:20
31,operation_on_cell_2,end,21:19:20
31,transport_to_track_2,start,21:19:20
31,transport_to_track_2,end,21:19:25
32,transport_to_track_1,start,21:19:25
32,transport_to_track_1,end,21:19:35
32,transport_to_cell_1,start,21:19:35
32,transport_to_cell_1,end,21:19:40
32,operation_on_cell_1,start,21:19:40
32,operation_on_cell_1,end,21:19:50
32,transport_to_cell_2,start,21:19:50
32,transport_to_cell_2,end,21:19:55
32,operation_on_cell_2,start,21:19:55
32,operation_on_cell_2,end,21:19:55
32,transport_to_track_2,start,21:19:55
32,transport_to_track_2,end,21:19:55
33,transport_to_track_1,start,21:19:55
33,transport_to_track_1,end,21:19:55
33,transport_to_cell_1,start,21:19:55
33,transport_to_cell_1,end,21:20:05
33,operation_on_cell_1,start,21:20:05
33,operation_on_cell_1,end,21:20:10
33,transport_to_cell_2,start,21:20:10
33,transport_to_cell_2,end,21:20:10
33,operation_on_cell_2,start,21:20:10
33,operation_on_cell_2,end,21:20:15
33,transport_to_track_2,start,21:20:15
33,transport_to_track_2,end,21:20:25
34,transport_to_track_1,start,21:20:25
34,transport_to_track_1,end,21:20:25
34,transport_to_cell_1,start,21:20:25
34,transport_to_cell_1,end,21:20:25
34,operation_on_cell_1,start,21:20:25
34,operation_on_cell_1,end,21:20:25
34,transport_to_cell_2,start,21:20:25
34,transport_to_cell_2,end,21:20:35
34,operation_on_cell_2,start,21:20:35
34,operation_on_cell_2,end,21:20:45
34,transport_to_track_2,start,21:20:45
34,transport_to_track_2,end,21:20:50
35,transport_to_track_1,start,21:20:50
35,transport_to_track_1,end,21:20:55
35,transport_to_cell_1,start,21:20:55
35,transport_to_cell_1,end,21:20:55
35,operation_on_cell_1,start,21:20:55
35,operation_on_cell_1,end,21:21:00
35,transport_to_cell_2,start,21:21:00
35,transport_to_cell_2,end,21:21:05
